Reference	Challenger	Metric	pValue	diff	se	ci.lower	ci.upper
EpitopeTransfer	NPTransfer 	AUC	0.01046358	0.029249251	0.010280198	0.006153843	0.052344659
EpitopeTransfer	ESM Baseline 	AUC	0.004459837	0.032230465	0.010280198	0.009135057	0.055325873
EpitopeTransfer	NPTransfer 	Accuracy	0.057700143	0.054303058	0.024844258	-0.001511849	0.110117964
EpitopeTransfer	ESM Baseline 	Accuracy	0.133312645	0.044737271	0.024844258	-0.011077636	0.100552177
EpitopeTransfer	NPTransfer 	Balanced accuracy	0.001210409	0.050046278	0.014115645	0.018334186	0.081758369
EpitopeTransfer	ESM Baseline 	Balanced accuracy	0.003527824	0.045333877	0.014115645	0.013621786	0.077045969
EpitopeTransfer	NPTransfer 	F1	0.002850333	0.061669243	0.01880151	0.019429926	0.10390856
EpitopeTransfer	ESM Baseline 	F1	0.040246656	0.043926423	0.01880151	0.001687105	0.08616574
EpitopeTransfer	NPTransfer 	MCC	0.000380379	0.107135399	0.027581098	0.045171931	0.169098867
EpitopeTransfer	ESM Baseline 	MCC	0.001631923	0.095277022	0.027581098	0.033313554	0.15724049
EpitopeTransfer	NPTransfer 	NPV	0.002720227	0.134261371	0.040748596	0.042715909	0.225806833
EpitopeTransfer	ESM Baseline 	NPV	0.030286235	0.099842911	0.040748596	0.008297449	0.191388373
EpitopeTransfer	NPTransfer 	PPV	0.034169056	0.039272558	0.016347268	0.002546919	0.075998197
EpitopeTransfer	ESM Baseline 	PPV	0.426350373	0.018390323	0.016347268	-0.018335317	0.055115962
EpitopeTransfer	NPTransfer 	Sensitivity	0.336210463	0.057173064	0.044504485	-0.042810347	0.157156476
EpitopeTransfer	ESM Baseline 	Sensitivity	0.420420008	0.050506874	0.044504485	-0.049476538	0.150490285
EpitopeTransfer	NPTransfer 	Specificity	0.61624962	0.042919491	0.05150796	-0.07279787	0.158636852
EpitopeTransfer	ESM Baseline 	Specificity	0.65287893	0.040160881	0.05150796	-0.07555648	0.155878242
