Method	Dataset	Metric	Value	Set
Baseline(ESM-1b)	B. pertussis	AUC	0.527481085892301	Holdout
Baseline(ESM-1b)	B. pertussis	F1	0.822134387351779	Holdout
Baseline(ESM-1b)	B. pertussis	MCC	-0.0898083993027845	Holdout
Baseline(ESM-1b)	B. pertussis	PPV	0.712328767123288	Holdout
Baseline(ESM-1b)	B. pertussis	NPV	0	Holdout
Baseline(ESM-1b)	B. pertussis	Sensitivity	0.97196261682243	Holdout
Baseline(ESM-1b)	B. pertussis	Specificity	0	Holdout
Baseline(ESM-1b)	B. pertussis	Balanced accuracy	0.485981308411215	Holdout
Baseline(ESM-1b)	B. pertussis	Accuracy	0.697986577181208	Holdout
Baseline(ESM-1b)	C. difficile	AUC	0.486211545532541	Holdout
Baseline(ESM-1b)	C. difficile	F1	0.176991150442478	Holdout
Baseline(ESM-1b)	C. difficile	MCC	0.0517383821375513	Holdout
Baseline(ESM-1b)	C. difficile	PPV	0.097323600973236	Holdout
Baseline(ESM-1b)	C. difficile	NPV	0.964285714285714	Holdout
Baseline(ESM-1b)	C. difficile	Sensitivity	0.975609756097561	Holdout
Baseline(ESM-1b)	C. difficile	Specificity	0.0678391959798995	Holdout
Baseline(ESM-1b)	C. difficile	Balanced accuracy	0.52172447603873	Holdout
Baseline(ESM-1b)	C. difficile	Accuracy	0.152619589977221	Holdout
Baseline(ESM-1b)	Corynebacterium	AUC	0.539351851851852	Holdout
Baseline(ESM-1b)	Corynebacterium	F1	0.453781512605042	Holdout
Baseline(ESM-1b)	Corynebacterium	MCC	-0.134479635523326	Holdout
Baseline(ESM-1b)	Corynebacterium	PPV	0.415384615384615	Holdout
Baseline(ESM-1b)	Corynebacterium	NPV	0.448979591836735	Holdout
Baseline(ESM-1b)	Corynebacterium	Sensitivity	0.5	Holdout
Baseline(ESM-1b)	Corynebacterium	Specificity	0.366666666666667	Holdout
Baseline(ESM-1b)	Corynebacterium	Balanced accuracy	0.433333333333333	Holdout
Baseline(ESM-1b)	Corynebacterium	Accuracy	0.429824561403509	Holdout
Baseline(ESM-1b)	C. trachomatis	AUC	0.768746862449799	Holdout
Baseline(ESM-1b)	C. trachomatis	F1	0.617924528301887	Holdout
Baseline(ESM-1b)	C. trachomatis	MCC	0.385305726943011	Holdout
Baseline(ESM-1b)	C. trachomatis	PPV	0.779761904761905	Holdout
Baseline(ESM-1b)	C. trachomatis	NPV	0.629080118694362	Holdout
Baseline(ESM-1b)	C. trachomatis	Sensitivity	0.51171875	Holdout
Baseline(ESM-1b)	C. trachomatis	Specificity	0.85140562248996	Holdout
Baseline(ESM-1b)	C. trachomatis	Balanced accuracy	0.68156218624498	Holdout
Baseline(ESM-1b)	C. trachomatis	Accuracy	0.679207920792079	Holdout
Baseline(ESM-1b)	E. coli	AUC	0.854983067247218	Holdout
Baseline(ESM-1b)	E. coli	F1	0.862690707350901	Holdout
Baseline(ESM-1b)	E. coli	MCC	0.21661312239165	Holdout
Baseline(ESM-1b)	E. coli	PPV	0.76039119804401	Holdout
Baseline(ESM-1b)	E. coli	NPV	0.888888888888889	Holdout
Baseline(ESM-1b)	E. coli	Sensitivity	0.996794871794872	Holdout
Baseline(ESM-1b)	E. coli	Specificity	0.0754716981132075	Holdout
Baseline(ESM-1b)	E. coli	Balanced accuracy	0.53613328495404	Holdout
Baseline(ESM-1b)	E. coli	Accuracy	0.763157894736842	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	AUC	0.722479794605338	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	F1	0.631578947368421	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	MCC	-0.0348986886857516	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	PPV	0.467166979362101	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	NPV	0.409090909090909	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	Sensitivity	0.974559686888454	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	Specificity	0.0155979202772964	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	Balanced accuracy	0.495078803582875	Holdout
Baseline(ESM-1b)	Enterobacteriaceae	Accuracy	0.465992647058824	Holdout
Baseline(ESM-1b)	Filoviridae	AUC	0.943595096982759	Holdout
Baseline(ESM-1b)	Filoviridae	F1	0.602941176470588	Holdout
Baseline(ESM-1b)	Filoviridae	MCC	0.558264943237627	Holdout
Baseline(ESM-1b)	Filoviridae	PPV	0.525641025641026	Holdout
Baseline(ESM-1b)	Filoviridae	NPV	0.965447154471545	Holdout
Baseline(ESM-1b)	Filoviridae	Sensitivity	0.706896551724138	Holdout
Baseline(ESM-1b)	Filoviridae	Specificity	0.927734375	Holdout
Baseline(ESM-1b)	Filoviridae	Balanced accuracy	0.817315463362069	Holdout
Baseline(ESM-1b)	Filoviridae	Accuracy	0.905263157894737	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	AUC	0.607527737553618	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	F1	0.376873661670236	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	MCC	0.24912736104327	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	PPV	0.745762711864407	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	NPV	0.598152424942263	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	Sensitivity	0.25214899713467	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	Specificity	0.92831541218638	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	Balanced accuracy	0.590232204660525	Holdout
Baseline(ESM-1b)	Human Gammaherpesvirus 4	Accuracy	0.620846905537459	Holdout
Baseline(ESM-1b)	Influenza A	AUC	0.718671556414061	Holdout
Baseline(ESM-1b)	Influenza A	F1	0.823899371069182	Holdout
Baseline(ESM-1b)	Influenza A	MCC	-0.0578513272334432	Holdout
Baseline(ESM-1b)	Influenza A	PPV	0.743262411347518	Holdout
Baseline(ESM-1b)	Influenza A	NPV	0.156862745098039	Holdout
Baseline(ESM-1b)	Influenza A	Sensitivity	0.924162257495591	Holdout
Baseline(ESM-1b)	Influenza A	Specificity	0.0423280423280423	Holdout
Baseline(ESM-1b)	Influenza A	Balanced accuracy	0.483245149911817	Holdout
Baseline(ESM-1b)	Influenza A	Accuracy	0.703703703703704	Holdout
Baseline(ESM-1b)	Lentivirus	AUC	0.794489294489295	Holdout
Baseline(ESM-1b)	Lentivirus	F1	0.876623376623377	Holdout
Baseline(ESM-1b)	Lentivirus	MCC	0.614975326035242	Holdout
Baseline(ESM-1b)	Lentivirus	PPV	0.84375	Holdout
Baseline(ESM-1b)	Lentivirus	NPV	0.8	Holdout
Baseline(ESM-1b)	Lentivirus	Sensitivity	0.912162162162162	Holdout
Baseline(ESM-1b)	Lentivirus	Specificity	0.675324675324675	Holdout
